Employee id,Age,Gender,Education Level,Job Title,Years of Experience,Salary
2328145,32,Male,Bachelor's Degree,Software Engineer,5,90000
2328148,36,Female,Bachelor's Degree,Sales Associate,7,60000
2328150,29,Male,Bachelor's Degree,Marketing Analyst,2,55000
2328152,31,Male,Bachelor's Degree,Sales Manager,4,80000
2328153,26,Female,Bachelor's Degree,Marketing Coordinator,1,45000
2328156,48,Female,Bachelor's Degree,HR Manager,18,140000
2328157,35,Male,Bachelor's Degree,Financial Analyst,6,65000
2328159,27,Male,Bachelor's Degree,Customer Service Rep,2,40000
2328160,44,Male,Bachelor's Degree,Operations Manager,16,125000
2328163,25,Female,Bachelor's Degree,Data Entry Clerk,0,35000
2328164,51,Male,Bachelor's Degree,Sales Director,22,180000
2328167,30,Male,Bachelor's Degree,IT Support,2,50000
2328168,36,Female,Bachelor's Degree,Recruiter,9,60000
2328170,28,Female,Bachelor's Degree,Social Media Specialist,3,45000
2328172,24,Male,Bachelor's Degree,Junior Developer,1,40000
2328175,50,Male,Bachelor's Degree,CEO,25,250000
2328176,31,Female,Bachelor's Degree,Accountant,4,55000
2328178,39,Female,Bachelor's Degree,Marketing Specialist,10,65000
2328180,27,Male,Bachelor's Degree,Technical Writer,2,45000
2328181,35,Female,Bachelor's Degree,HR Generalist,7,60000
2328183,26,Female,Bachelor's Degree,Customer Success Rep,1,40000
2328184,49,Male,Bachelor's Degree,Sales Executive,21,160000
2328187,30,Male,Bachelor's Degree,Network Engineer,3,60000
2328188,36,Female,Bachelor's Degree,Administrative Assistant,8,45000
2328190,28,Female,Bachelor's Degree,Copywriter,2,40000
2328191,32,Male,Bachelor's Degree,Account Manager,5,75000
2328194,25,Male,Bachelor's Degree,Help Desk Analyst,0,35000
2328195,51,Female,Bachelor's Degree,Customer Service Manager,22,130000
2328197,40,Female,Bachelor's Degree,Event Coordinator,12,60000
2328199,29,Female,Bachelor's Degree,Graphic Designer,3,50000
2328200,36,Male,Bachelor's Degree,Sales Manager,9,95000
2328203,30,Female,Bachelor's Degree,Social Media Manager,4,55000
2328206,29,Male,Bachelor's Degree,Marketing Analyst,3,50000
2328207,40,Female,Bachelor's Degree,HR Manager,12,80000
2328209,26,Male,Bachelor's Degree,Junior Accountant,1,35000
2328211,46,Male,Bachelor's Degree,IT Manager,19,120000
2328212,31,Female,Bachelor's Degree,Customer Service Representative,5,45000
2328215,33,Male,Bachelor's Degree,Web Developer,6,65000
2328216,39,Female,Bachelor's Degree,Recruiter,11,70000
2328218,28,Male,Bachelor's Degree,Technical Support Specialist,2,40000
2328220,37,Male,Bachelor's Degree,Project Manager,10,95000
2328221,50,Female,Bachelor's Degree,Operations Manager,22,160000
2328224,30,Female,Bachelor's Degree,Content Marketing Manager,3,55000
2328225,36,Male,Bachelor's Degree,Technical Recruiter,8,70000
2328227,25,Male,Bachelor's Degree,Sales Representative,0,30000
2328229,29,Female,Bachelor's Degree,Junior Designer,2,40000
